,Date,DomicileCode,Domicile,ExterieurCode,Exterieur,DomicileForme,ExterieurForme,DiffForme,FAF_VictoiresDomicile,FAF_VictoiresExterieur,SemaineSaison,Mois,AnneeSaison,Cible,DomicileAvgButsMarques_Home,DomicileAvgButsEncaisses_Home,DomicileAvgButsMarques_Away,DomicileAvgButsEncaisses_Away,ExterieurAvgButsMarques_Home,ExterieurAvgButsEncaisses_Home,ExterieurAvgButsMarques_Away,ExterieurAvgButsEncaisses_Away,DiffButs
41,2016-02-02,32,West Ham,1,Aston Villa,3,2,1,0,1,26,2,2015,1,1.0909090909090908,0.45454545454545453,1.3333333333333333,1.3333333333333333,1.1818181818181819,0.9090909090909091,0.9166666666666666,1.25,0.6969696969696968
42,2016-02-02,19,Man United,26,Stoke,2,4,-2,1,0,26,2,2015,1,1.4545454545454546,1.3636363636363635,1.0,2.3333333333333335,1.8333333333333333,0.75,1.7272727272727273,0.9090909090909091,-3.1439393939393936
43,2016-02-02,0,Arsenal,25,Southampton,2,4,-2,0,1,26,2,2015,0,1.1818181818181819,1.0909090909090908,1.25,2.8333333333333335,2.75,1.0,1.0909090909090908,1.0,-3.333333333333333
44,2016-02-02,15,Leicester,16,Liverpool,3,3,0,0,1,26,2,2015,1,1.1666666666666667,1.4166666666666667,0.7272727272727273,1.1818181818181819,1.0,1.3333333333333333,0.9090909090909091,1.3636363636363635,0.08333333333333315
45,2016-02-02,8,Crystal Palace,2,Bournemouth,3,2,1,0,1,26,2,2015,0,1.6363636363636365,1.2727272727272727,1.5,1.1666666666666667,0.7272727272727273,1.2727272727272727,0.8333333333333334,2.0,2.409090909090909
46,2016-02-03,9,Everton,21,Newcastle,2,1,1,1,0,27,2,2015,1,2.0,1.8333333333333333,1.4545454545454546,1.0909090909090908,1.5833333333333333,1.5,0.5454545454545454,2.090909090909091,1.9924242424242427
47,2016-02-03,30,Watford,7,Chelsea,1,3,-2,1,0,27,2,2015,0,1.0833333333333333,0.9166666666666666,1.2727272727272727,1.3636363636363635,1.6666666666666667,1.5833333333333333,1.0909090909090908,1.3636363636363635,0.26515151515151514
48,2016-02-06,1,Aston Villa,22,Norwich,2,1,1,0,1,27,2,2015,1,0.7272727272727273,1.2727272727272727,0.7692307692307693,2.0,1.3333333333333333,1.5,1.0,2.3333333333333335,-0.27622377622377603
49,2016-02-06,16,Liverpool,27,Sunderland,1,2,-1,1,0,27,2,2015,0,1.2727272727272727,1.3636363636363635,1.2307692307692308,1.4615384615384615,1.0833333333333333,1.0833333333333333,1.25,2.8333333333333335,1.261655011655012
50,2016-02-06,18,Man City,15,Leicester,4,4,0,1,0,27,2,2015,0,2.75,1.0,1.0833333333333333,0.9166666666666666,1.75,1.0833333333333333,1.9166666666666667,1.0833333333333333,0.4166666666666663
